left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle,Activity
9.53,70.47,20.52,13.38,322.54,11.01,282.82,51.86,Sitting
9.53,70.47,20.52,13.38,322.54,11.01,282.82,51.86,Sitting
9.53,70.41,20.52,13.49,322.54,11.08,282.82,51.8,Sitting
9.53,70.47,20.52,13.43,322.54,11.08,282.82,51.8,Sitting
8.98,70.47,20.36,13.79,322.52,11.45,282.82,52.55,Sitting
5.44,70.54,20.52,13.73,322.9,11.45,282.85,52.26,Sitting
5.44,70.54,20.63,14.09,322.43,11.81,282.52,52.97,Sitting
5.44,70.54,20.63,14.09,322.43,11.81,282.52,53.04,Sitting
5.39,69.82,20.58,14.24,322.43,11.82,282.52,54.52,Sitting
5.44,69.82,20.73,14.29,322.18,11.86,282.52,56.11,Sitting
5.44,69.82,20.73,14.29,322.18,11.86,282.52,56.18,Sitting
1.35,69.82,20.73,14.29,322.18,11.86,282.52,55.96,Sitting
0.81,70.02,20.57,14.29,322.16,11.86,282.52,55.96,Sitting
0.81,70.02,20.57,14.29,322.16,11.86,282.52,55.96,Sitting
0.77,70.02,20.42,14.29,322.41,11.86,282.52,56.02,Sitting
0.77,70.02,20.42,14.65,322.41,12.23,282.52,56.63,Sitting
0.77,69.82,20.42,14.65,322.41,12.23,282.52,56.63,Sitting
4.32,69.82,19.88,14.65,322.41,12.23,282.57,56.63,Sitting
7.74,118.63,35.71,25.47,348.99,15.73,257.64,99.86,Sitting
270.21,122.49,39.76,30.0,348.72,16.69,254.21,103.37,Sitting
267.27,112.26,35.61,32.91,350.85,17.38,252.12,103.96,Sitting
268.48,108.94,34.11,30.44,350.31,17.15,250.37,104.75,Sitting
278.04,103.47,36.36,27.97,349.34,17.09,251.13,105.5,Sitting
279.02,118.14,36.36,18.69,348.97,17.55,252.46,106.26,Sitting
278.57,120.36,36.36,17.24,348.6,17.66,253.59,106.78,Sitting
279.6,106.75,36.34,23.78,348.25,18.14,256.39,105.38,Sitting
278.1,104.77,36.41,25.5,347.74,18.14,257.87,105.11,Sitting
277.26,101.97,35.99,26.85,348.16,18.35,256.27,104.49,Sitting
277.26,115.13,35.99,19.57,348.16,17.9,256.27,105.11,Sitting
277.26,117.85,35.99,17.8,348.16,17.9,255.67,104.85,Sitting
277.26,111.78,35.99,21.51,348.16,17.9,255.67,104.85,Sitting
275.79,110.09,35.15,22.84,347.81,18.01,256.73,105.35,Sitting
275.79,109.22,35.15,23.71,347.81,18.01,256.73,105.35,Sitting
275.79,109.22,35.15,23.18,347.81,17.43,256.73,105.99,Sitting
275.79,108.36,35.25,24.11,347.72,17.5,255.86,106.47,Sitting
275.49,107.37,35.25,23.88,347.72,17.5,256.44,106.47,Sitting
275.49,107.37,35.25,23.88,348.08,17.5,255.27,106.22,Sitting
276.12,106.34,34.9,23.66,348.45,17.5,253.48,106.74,Sitting
276.12,107.18,34.9,23.27,348.45,17.61,253.48,106.98,Sitting
276.12,107.18,34.9,23.27,348.45,17.61,253.19,106.98,Sitting
276.12,105.59,34.9,24.11,348.82,17.61,251.25,106.98,Sitting
277.21,106.34,35.71,23.66,349.55,17.16,246.51,107.64,Sitting
277.21,106.56,35.71,23.37,349.92,17.04,244.15,107.64,Sitting
276.86,105.48,35.37,23.44,350.25,17.11,240.46,108.34,Sitting
276.86,104.08,35.47,23.44,350.86,16.76,235.22,110.06,Sitting
277.34,104.24,36.16,23.14,351.28,16.61,231.95,112.49,Sitting
275.45,103.47,36.16,23.14,351.62,16.61,228.21,112.49,Sitting
273.95,102.31,35.72,22.57,352.07,16.38,225.5,114.49,Sitting
273.45,96.17,36.06,23.03,352.14,16.18,224.73,115.48,Sitting
273.28,95.84,36.39,22.65,351.9,16.35,226.8,114.44,Sitting
274.33,101.14,37.49,22.07,352.01,15.53,226.75,116.48,Sitting
274.02,101.45,37.89,22.44,352.0,15.51,225.98,116.48,Sitting
270.23,100.32,37.43,22.88,352.1,15.64,226.21,114.88,Sitting
269.51,102.16,37.43,21.86,352.1,15.64,226.21,113.86,Sitting
263.88,106.11,38.49,22.3,351.85,15.73,227.89,113.35,Sitting
265.85,105.22,38.99,25.23,351.78,15.7,227.64,113.52,Sitting
266.6,101.29,39.28,27.94,351.89,15.93,227.64,111.78,Sitting
272.08,101.86,39.35,28.63,351.47,16.05,228.8,110.77,Sitting
272.08,103.39,39.35,29.76,351.47,16.4,228.57,109.55,Sitting
275.18,103.39,38.91,29.76,351.47,17.16,228.57,105.63,Sitting
271.02,104.04,38.91,29.76,351.47,17.58,229.29,102.87,Sitting
272.4,104.04,38.91,30.34,351.47,18.33,229.29,98.5,Sitting
275.99,109.93,39.64,30.62,351.47,18.73,230.04,96.17,Sitting
275.73,112.57,40.15,30.62,351.76,19.09,228.39,94.71,Sitting
277.16,112.57,40.88,30.62,351.76,19.13,228.62,92.85,Sitting
280.73,107.1,40.88,30.62,351.76,19.54,229.09,91.1,Sitting
282.81,104.82,42.53,31.04,351.76,19.47,230.01,90.94,Sitting
285.13,100.64,42.53,31.13,351.76,19.56,230.93,91.8,Sitting
